individual_id_new,days_since_most_recent_email,days_since_most_recent_open,days_since_most_recent_click,tot_emails_30_days_prior,tot_emails_60_days_prior,tot_emails_90_days_prior,tot_emails_12_mon_prior,tot_emails_24_mon_prior,tot_emails_36_mon_prior,ever_emailed,email_domain_group,ind_fantasy_1y,ind_nbadaily_90d,ind_nbastore_90d,ind_marketing_allstar_1y,ind_events_allstar_1y,ind_nbateamticketoffers_1y,age,age_group,gender,closest_arena_distance,tenure,pre_total_ticket_amt_l12,pre_total_tickets_l12,pre_regular_season_tix,pre_playoffs_tix,pre_tickets_ever,fan_total_amt_l12,fan_total_amt_l24,fan_total_amt_l36,fan_mths_since_last_purch,fan_purch_ever,fan_purch_visa_ind,fan_purch_mc_ind,fan_purch_amex_ind,fan_purch_disc_ind,fan_purch_giftcard_ind,fan_purch_paypal_ind,fan_purch_web_ind,fan_purch_mobile_ind,fan_fav_team,post_retail_response,lp_subscriber,lp_purch_amex_ind,lp_purch_mc_ind,lp_purch_visa_ind,lp_purch_disc_ind,lp_purch_paypal_ind,lp_broadband_plan,lp_auto_renew,arenadis,emaildays,emailopendays,closeteam,pre_total_tickets_cat,tot_emails_90dprior_cat,tot_opens_90dprior_cat,fan_totalamtl24m_cat,mths_since_purch_cat,pre_total_tickets,fan_pmt,fancardcat
1000068217679,,,,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,Unknown,U,10.058799274,74,0,0,0,0,0,0,0,0,74,1,0,1,0,0,0,0,0,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,7unknown,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,10000,MConly
1000068225577,89,455,973,0,0,1,1,114,213,1,Gmail,0,0,0,0,0,0,0,Unknown,U,13.288320455,54,0,0,0,0,0,53.98,53.98,53.98,2,1,0,0,1,0,0,0,1,0,KNICKS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,5mt360,Clippers,0none,1gte1lte4,0none,2gt50lte10,1lt3,0,1000,AMEXonly
1000068231464,374,378,451,0,0,0,0,174,271,1,Gmail,0,0,0,0,0,0,0,Unknown,U,11.692566092,41,0,0,0,0,0,25.99,93.93,126.87,3,1,1,0,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,2gt50lte10,1lt3,0,100001,CombPmt
1000068231955,374,971,,0,0,0,0,72,136,1,AOL,0,0,0,0,0,0,0,Unknown,U,11.902460653,64,0,0,0,0,0,0,0,195.7,32,1,0,0,1,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,0none,5mt24,0,1000,AMEXonly
1000068234665,400,772,742,0,0,0,0,55,78,1,Yahoo,0,0,0,0,0,0,0,Unknown,U,16.808997412,74,0,0,0,0,0,0,0,0,74,1,0,1,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,0none,5mt24,0,10000,MConly
1000068236530,400,,,0,0,0,0,2,52,1,Other,0,0,0,0,0,0,0,Unknown,U,15.910318754,79,0,0,0,0,0,0,0,0,79,1,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,1lt30,5mt360,7unknown,Clippers,0none,0none,0none,0none,5mt24,0,10000,MConly
1000068237176,,,,0,0,0,0,0,0,0,Gmail,0,0,0,0,0,0,0,Unknown,U,12.325499176,6,0,0,0,0,0,135.97,135.97,135.97,3,1,0,1,0,0,0,1,1,0,GSW,0,0,0,0,0,0,0,0,0,1lt30,6never,6never,Clippers,0none,0none,0none,2gt50lte10,1lt3,0,10001,CombPmt
1000068239377,375,318,,0,0,0,0,42,61,1,Gmail,0,0,0,0,0,0,0,Unknown,U,19.294261232,82,0,0,0,0,0,0,443.31,679.11,18,1,0,1,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,1lt30,5mt360,4mt60lt360,Clippers,0none,0none,0none,2gt50lte10,4mt12lt24,0,10001,CombPmt
1000068239724,3,284,,6,6,16,49,56,151,1,Yahoo,0,1,0,0,0,0,55,50s,F,19.294261232,41,350,5,1,0,1,0,27.95,27.95,17,1,1,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,1lt30,1lt7,4mt60lt360,Clippers,2gte5lte8,3gt12,0none,1gt0lte50,4mt12lt24,5,100000,VISAonly
1000068260067,374,388,,0,0,0,0,88,88,1,net,0,0,0,0,0,0,0,Unknown,U,11.649103849,18,0,0,0,0,0,0,44.94,44.94,19,1,1,0,0,0,0,0,0,1,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Clippers,0none,0none,0none,1gt0lte50,4mt12lt24,0,100000,VISAonly
